budget,release_date,revenue,vote_average,vote_count,year,Success
5000000,2002-10-21,64282312,6.1,345,2002,True
110000000,2004-12-09,362744280,6.4,2124,2004,True
150000000,2011-05-25,665692281,6.7,1880,2011,True
930000,2011-06-18,30905,5.3,66,2011,False
26000000,2003-08-03,110230332,6.0,879,2003,True
130000000,2013-07-18,61648500,5.4,1260,2013,False
10000000,2015-06-04,104303851,6.2,983,2015,True
14000000,1981-09-16,85000000,7.9,613,1981,True
25000000,2005-06-01,39053061,6.3,386,2005,True
30000000,2008-07-24,68369434,5.5,523,2008,True
35000000,2015-07-17,140795793,5.9,1181,2015,True
21000000,2007-01-05,41170784,7.5,356,2007,True
8000000,2005-10-25,2019009,6.1,17,2005,False
120000000,2011-01-12,227817248,5.5,1251,2011,True
50000000,2009-04-01,36348784,7.2,666,2009,False
100000000,2010-05-26,288347692,5.4,426,2010,True
8000000,2007-04-30,458232,5.8,18,2007,False
30000000,2008-03-14,22211426,5.8,363,2008,False
10000000,1998-02-20,45779,3.0,9,1998,False
10,2013-09-28,10000000,4.9,119,2013,True
170000000,2016-05-25,299370084,6.5,1725,2016,True
150000,1971-04-23,15200000,4.6,18,1971,True
28000000,2015-12-11,133346506,7.3,2607,2015,True
13500000,2000-11-22,7060876,6.8,128,2000,False
65000000,2004-12-08,128905366,5.7,1252,2004,True
38000000,2007-12-17,5410749,4.3,75,2007,False
9500000,1967-06-12,111584787,6.5,531,1967,True
40000000,2015-11-10,34227298,5.6,685,2015,False
20000000,2011-05-16,216197492,5.4,1584,2011,True
165000000,2010-03-05,494878759,7.5,4227,2010,True
30000000,2010-11-22,102820008,6.6,1233,2010,True
25000000,2007-09-21,59192128,5.5,444,2007,True
80000000,1997-06-27,245676146,6.8,1583,1997,True
15000000,2007-09-11,56255142,7.8,3045,2007,True
18000000,2004-01-20,65070412,5.6,74,2004,True
7200000,1971-12-13,116019547,6.3,553,1971,True
30000000,2008-09-09,31148328,6.3,240,2008,False
12000000,1985-02-08,68706993,7.0,375,1985,True
80000000,2009-12-03,53825515,5.1,165,2009,False
44000000,2013-03-22,63327201,6.0,1817,2013,False
