budget,release_date,revenue,vote_average,vote_count,year,Success
150000000,2015-05-13,378858340,7.2,9427,2015,True
14000000,2007-05-22,19777647,7.4,283,2007,False
58000000,2009-12-17,85280250,5.1,276,2009,False
17000000,2003-04-25,55534455,5.7,280,2003,True
12000000,2006-11-22,5542025,5.9,43,2006,False
6000000,1978-07-07,181813770,7.2,1581,1978,True
50000000,2016-06-15,216972543,6.2,1650,2016,True
9400000,1963-11-07,60000000,7.0,140,1963,True
44000000,1993-08-06,368875760,7.2,1220,1993,True
25000000,2013-08-16,115922175,7.2,1101,2013,True
60000000,2010-07-27,47664559,7.2,2126,2010,False
10000000,1994-11-23,29392418,6.0,31,1994,True
55000000,2013-10-10,95000000,7.6,2454,2013,True
3000000,1957-10-02,33300000,7.7,542,1957,True
60000000,2012-03-12,118338361,6.4,374,2012,True
9500000,2010-09-10,120000,6.6,307,2010,False
12500000,2009-09-09,27206120,5.4,177,2009,True
30000000,2004-04-16,152159461,7.6,3948,2004,True
700000,1994-09-12,7830611,7.7,87,1994,True
40000000,2001-09-07,27053815,5.2,56,2001,False
30250000,1995-10-20,115101622,6.4,302,1995,True
8000000,2006-09-07,426224,6.6,135,2006,False
45000000,1997-03-21,181000000,6.4,1424,1997,True
5000000,2014-01-01,86362372,5.2,449,2014,True
8000000,2002-01-12,16856124,6.1,181,2002,True
79000000,2002-12-18,926287400,8.0,7487,2002,True
5000000,1989-07-28,14000000,4.8,191,1989,True
110000000,2004-06-16,72178895,5.7,672,2004,False
41000000,2011-10-13,7448385,5.6,248,2011,False
18000000,2010-05-19,871279,6.7,50,2010,False
5000000,2016-04-15,3220371,6.7,683,2016,False
15000000,2005-10-26,85306374,7.3,1105,2005,True
20000000,2008-09-12,20211394,6.3,299,2008,False
63000000,1999-03-30,463517383,7.9,8907,1999,True
75000000,2000-07-13,296339527,6.8,4097,2000,True
80000000,2006-04-22,343397247,6.3,1074,2006,True
15000,2007-09-14,193355800,5.9,1316,2007,True
50000000,2009-03-19,155446362,5.9,1486,2009,True
5000000,2014-09-04,6833445,5.0,349,2014,False
27000000,1983-07-29,16519460,5.8,129,1983,False
180000000,2008-06-22,521311860,7.8,6296,2008,True
11000000,1993-12-17,30000000,7.5,919,1993,True
40000000,2010-03-16,136000000,5.5,858,2010,True
20000000,2007-01-25,86865564,3.2,326,2007,True
145000000,2016-01-23,521170825,6.7,1603,2016,True
12000000,2000-09-09,15250000,6.8,107,2000,False
54000000,1980-12-04,190458706,6.5,629,1980,True
14000000,2009-06-08,22852638,6.2,351,2009,True
26500000,1997-07-12,159375308,8.2,1983,1997,True
20000000,2013-09-21,16549477,5.9,88,2013,False
40000000,1984-12-14,30925690,6.5,562,1984,False
25000000,2009-09-05,163670000,6.7,1205,2009,True
60000000,2013-08-21,90565421,6.2,1602,2013,True
70000000,1999-09-24,177841558,6.2,278,1999,True
30000000,2008-01-10,160259319,6.1,978,2008,True
3500000,1993-05-26,27900000,7.2,173,1993,True
80000000,2000-11-10,33463969,5.4,267,2000,False
14000000,2015-02-20,12314651,5.0,354,2015,False
50000000,2007-02-06,82169884,6.0,654,2007,True
3000000,1986-08-01,19472057,5.7,216,1986,True
17000000,2013-04-05,97542952,6.4,1723,2013,True
5000000,2011-11-25,3099314,7.1,471,2011,False
55000000,1992-07-30,149022650,6.3,636,1992,True
34000000,1979-06-26,210308099,5.9,541,1979,True
35000000,2014-03-28,17508518,5.5,555,2014,False
80000000,2015-09-21,473226958,6.7,1497,2015,True
215000000,2012-06-27,752215857,6.5,6586,2012,True
